model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,216510288543668224.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,6166944845863706600.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,5463770102705018900.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,374382395795942400.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,5500893817038738400.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,1332840929869537280.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,4014801908256818200.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,8164313190530669600.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,5499723562756220900.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,5463814170871761900.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,1240575102848728060.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,2251208997588056060.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,5505918295001282600.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,8802698990022778900.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_ndist_nospeak,false,false,0,1303511102452083710.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01252610529728226,0.15063231637693325,0.00001450181706567,0.00000037261150014,1,3,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,374382395795942400.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,5463770102705018900.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,216510288543668224.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,6166944845863706600.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,5500893817038738400.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,1332840929869537280.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,8164313190530669600.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_ndist_nospeak,false,false,0,4014801908256818200.0,0,0.5,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00975649903013544,0.13890529011786196,0.00000004518922832,0.00000000005850907,1,2,0.0,0.0
