model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,3701186288767387600.0,15,0.14230315051162348,0.00000012776621765,0.00000009504982674,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,392510866050750460.0,15,0.1415591722504255,0.00000048277578272,0.00000028328822846,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,1152928112216214530.0,20,0.14310860968598269,0.00000053420207799,0.00000031535259801,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,5692244531315460100.0,20,0.14158156442081374,0.00000090877536884,0.00000096014099475,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,8347957397705325600.0,15,0.1618409173186592,0.00000016743078878,0.00000010954651605,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,6611169634132995100.0,20,0.1411534564077501,0.00000373362036062,0.00000370981707488,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,1808059575414842370.0,20,0.1541805814829458,0.00000144935545568,0.0000012090456611,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,9171377247732619300.0,35,0.20057805463691858,0.00000507956420847,0.00000535414871258,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,7745187028813921300.0,20,0.14150339333156634,0.00000101830650011,0.00000083085974671,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,6912004835219522600.0,15,0.14192825602428386,0.00000044171645341,0.00000040036307559,1,4,0.0,0.0
consensus,heterogeneous,49,3,3,0.5,0.8,0.8,0.2,7780886315932149800.0,20,0.14467071503562245,0.0000019777678856,0.00000121398372011,2,4,0.0,0.0
