model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,5091642889372354600.0,50,true,0.0,0.11582453393426408,0.00015353555144443,0.00008953521072327,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,6579312008936010800.0,55,true,0.0,0.12024863618690239,0.00009192740613612,0.00005360803802251,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,618952398593468420.0,60,true,0.0,0.12095070925742045,0.00005504033378206,0.00003209711260417,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,7961064913231669200.0,65,true,0.0,0.1256355952697622,0.00003295468098333,0.00001921772695901,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,3446611970898041900.0,55,true,0.0,0.12312973897240274,0.00009192740613612,0.00005360803802251,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,8810525594210242600.0,55,true,0.0,0.11817464185735634,0.00009192740613612,0.00005360803802251,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,456152218367926270.0,55,true,0.0,0.11716848041104526,0.00009192740613612,0.00005360803802251,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,2628232465145449500.0,55,true,0.0,0.11716848041104526,0.00009192740613612,0.00005360803802251,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,1678023918209180670.0,50,true,0.0,0.12274814983720823,0.00015353555144444,0.00008953521072327,2,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,882452717080495100.0,50,true,0.0,0.11504808026866438,0.00015353555144443,0.00008953521072327,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,6604969221076703200.0,55,true,0.0,0.11716848041104523,0.00009192740613612,0.00005360803802251,1,3,0.0,0.0
consensus,heterogeneous,22,2,2,0.1,0.6,0.6,0.1,false,0.1,0.1,0.3,0.05,1398760984851863550.0,55,true,0.0,0.11716848041104534,0.00009192740613612,0.00005360803802251,1,3,0.0,0.0
