model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,current_experiment_id,speaking_mode
clustering,heterogeneous,9,M9,51,1,0,0,0.8333333333333334,0.7083333333333334,0.375,0.6111111111111116,0.16666666666666666,0.6932870370370369,0.01965549714934841,0.7212557420248239,0.9166666666666666,0.75,0.375,0.555555555555555,0.16666666666666666,0.7337962962962967,0.5527777777777776,0.02796870498778703,0.01254055427147283,0.19541092464184273,0.0287442579751761,0.3462557420248239,0.16570018646926887,0.5545890753581573,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,6905470370856337400.0,15,true,nil,false
clustering,heterogeneous,9,M9,52,1,0,0,0.8611111111111116,0.7083333333333334,0.0,0.7777777777777782,0.0,0.7627314814814815,0.01965549714934841,0.7361612117430836,0.8611111111111116,0.75,0.125,0.7777777777777782,0.0,0.752314814814815,0.502777777777778,-0.02657026973839793,0.01615360307173141,0.12494989936802803,0.01383878825691642,0.6111612117430836,0.04161656603469466,0.7361612117430836,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,6905470370856337400.0,15,true,nil,false
clustering,heterogeneous,9,M9,53,0,0,0,0.5833333333333334,0.7083333333333334,0.5833333333333334,1.0,0.5,0.4756944444444444,0.01965549714934841,0.45798093128551265,0.6111111111111116,0.9583333333333334,0.5,1.0,0.555555555555555,0.5497685185185186,0.725,-0.01771351315893177,0.09178758723300595,0.15313017982559896,0.5003524020478207,0.04201906871448735,0.5420190687144874,0.09757462427004238,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,6905470370856337400.0,15,true,nil,false
clustering,heterogeneous,9,M9,54,0,0,0,0.5833333333333334,0.625,0.6666666666666666,0.8888888888888884,0.6666666666666666,0.4317129629629631,0.01965549714934841,0.44854080046394834,0.5833333333333334,0.625,0.5833333333333334,0.7222222222222218,0.5,0.5011574074074074,0.6027777777777777,0.01682783750098527,0.0526166069434591,0.13479253286938503,0.17645919953605166,0.13479253286938503,0.2736814217582734,0.05145919953605166,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,6905470370856337400.0,15,true,nil,false
clustering,heterogeneous,9,M9,51,1,0,0,0.8333333333333334,0.7083333333333334,0.375,0.6111111111111116,0.16666666666666666,0.6932870370370369,0.01965549714934841,0.7212557420248239,0.9166666666666666,0.75,0.375,0.555555555555555,0.16666666666666666,0.7337962962962967,0.5527777777777776,0.02796870498778703,0.01254055427147283,0.19541092464184273,0.0287442579751761,0.3462557420248239,0.16570018646926887,0.5545890753581573,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,8636175130330607600.0,15,true,nil,false
clustering,heterogeneous,9,M9,52,1,0,0,0.8611111111111116,0.7083333333333334,0.0,0.7777777777777782,0.0,0.7627314814814815,0.01965549714934841,0.7361612117430836,0.8611111111111116,0.75,0.125,0.7777777777777782,0.0,0.752314814814815,0.502777777777778,-0.02657026973839793,0.01615360307173141,0.12494989936802803,0.01383878825691642,0.6111612117430836,0.04161656603469466,0.7361612117430836,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,8636175130330607600.0,15,true,nil,false
clustering,heterogeneous,9,M9,53,0,0,0,0.5833333333333334,0.7083333333333334,0.5833333333333334,1.0,0.5,0.4756944444444444,0.01965549714934841,0.45798093128551265,0.6111111111111116,0.9583333333333334,0.5,1.0,0.555555555555555,0.5497685185185186,0.725,-0.01771351315893177,0.09178758723300595,0.15313017982559896,0.5003524020478207,0.04201906871448735,0.5420190687144874,0.09757462427004238,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,8636175130330607600.0,15,true,nil,false
clustering,heterogeneous,9,M9,54,0,0,0,0.5833333333333334,0.625,0.6666666666666666,0.8888888888888884,0.6666666666666666,0.4317129629629631,0.01965549714934841,0.44854080046394834,0.5833333333333334,0.625,0.5833333333333334,0.7222222222222218,0.5,0.5011574074074074,0.6027777777777777,0.01682783750098527,0.0526166069434591,0.13479253286938503,0.17645919953605166,0.13479253286938503,0.2736814217582734,0.05145919953605166,0.05,0.2,0.25,0.01,0.05,0.2,0.0,0.0,8636175130330607600.0,15,true,nil,false
clustering,homogeneous,33,H15,207,0,0,0,0.5277777777777782,0.5833333333333334,0.625,0.944444444444445,0.555555555555555,0.4236111111111112,0.00240269204389574,0.42624352651442576,0.5,0.625,0.7916666666666666,0.7777777777777782,0.5,0.43634259259259256,0.638888888888889,0.00263241540331455,0.0100990660781668,0.07375647348557424,0.19875647348557424,0.36542314015224087,0.35153425126335247,0.07375647348557424,0.05296844127095587,0.2,0.25,0.01,0.05,0.2,0.0,0.0,4692690466958798800.0,15,true,nil,false
clustering,homogeneous,33,H15,208,0,0,0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.47222222222222227,0.00240269204389574,0.42674603686179624,0.6666666666666666,1.0,0.75,1.0,0.44444444444444503,0.5509259259259259,0.7722222222222224,-0.04547618536042602,0.12417988906412969,0.2399206298048704,0.5732539631382038,0.32325396313820376,0.5732539631382038,0.01769840758264879,0.3604404181991616,0.2,0.25,0.01,0.05,0.2,0.0,0.0,4692690466958798800.0,15,true,nil,false
