model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
clustering,heterogeneous,9,M9,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,15,0.01965549714934841,0.04327458787991732,0.01904759155090125,0.01545739867030638,2,3,0.0,0.0
clustering,heterogeneous,9,M9,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,15,0.01965549714934841,0.04327458787991732,0.01904759155090125,0.01545739867030638,2,3,0.0,0.0
clustering,homogeneous,33,H15,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.05,0.2,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00240269204389574,0.04661332110872618,0.00160116044156399,0.00111080430908833,2,3,0.0,0.0
clustering,homogeneous,33,H15,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.05,0.2,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00240269204389574,0.04661332110872618,0.00160116044156399,0.00111080430908833,2,3,0.0,0.0
clustering,heterogeneous,9,M9,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,15,0.01965549714934841,0.04327458787991732,0.01904759155090125,0.01545739867030638,2,3,0.0,0.0
consensus,homogeneous,33,H15,cons_dist_nospeak,true,false,0,8803618445054126100.0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.00240269204389574,0.03598134858310344,0.0001124519423749,0.00006122637100381,1,3,0.0,0.0
clustering,homogeneous,41,H20,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.5,0.8,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00048024369855967,0.06845900928111136,0.00000000066360411,0.00000000000432002,1,1,0.0,0.0
clustering,homogeneous,41,H20,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.5,0.8,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00048024369855967,0.06845900928111136,0.00000000066360411,0.00000000000432002,1,1,0.0,0.0
consensus,heterogeneous,1,M1,cons_dist_nospeak,true,false,0,7240713591891685400.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0306388856143309,0.17591654113482155,0.0000000957460638,0.00000000012142792,1,3,0.0,0.0
clustering,homogeneous,24,H12,clst_dist_nospeak,true,false,0,7139002048363152400.0,0,0.5,0.8,0.0,0.0,0.2,0.3,0.0,0.0,15,0.00771504468878602,0.08159626444171207,0.00000030645621337,0.00000000173579984,1,3,0.0,0.0
clustering,homogeneous,41,H20,clst_dist_nospeak,true,false,0,7240713591891685400.0,0,0.5,0.8,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00048024369855967,0.06845900928111136,0.00000000066360411,0.00000000000432002,1,1,0.0,0.0
consensus,homogeneous,33,H15,cons_dist_nospeak,true,false,0,7043372089166577700.0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.00240269204389574,0.03598134858310344,0.0001124519423749,0.00006122637100381,1,3,0.0,0.0
clustering,homogeneous,33,H15,clst_dist_nospeak,true,false,0,7139002048363152400.0,0,0.05,0.2,0.0,0.0,0.2,0.0,0.0,0.0,15,0.00240269204389574,0.04661332110872618,0.00160116044156399,0.00111080430908833,2,3,0.0,0.0
consensus,heterogeneous,1,M1,cons_dist_nospeak,true,false,0,7139002048363152400.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0306388856143309,0.17591654113482155,0.0000000957460638,0.00000000012142792,1,3,0.0,0.0
