model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle
consensus,heterogeneous,36,178,1,2,2,0.694444444444445,0.75,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.6250000000000001,0.569529677030076,0.944444444444445,1.0,0.6666666666666666,0.6111111111111116,0.11111111111111167,0.7546296296296301,0.666666666666667,-0.05547032296992416,0.18509995259955414,0.374914767414369,0.43047032296992405,0.09713698963659068,0.04158143408103565,0.4584185659189643,0.1,0.27373952783379296,0.8,0.3394874761515646,0.1,0.2,0.8,0.2,7139002048363152400.0,15
consensus,heterogeneous,36,179,1,2,2,0.6111111111111116,0.875,0.25,0.7222222222222218,0.38888888888888834,0.6446759259259262,0.5703821621916614,0.7222222222222218,0.9166666666666666,0.125,0.7222222222222218,0.3333333333333333,0.7129629629629634,0.5638888888888888,-0.07429376373426477,0.14258080077130197,0.1518400600305604,0.34628450447500525,0.4453821621916614,0.1518400600305604,0.23704882885832806,0.1,0.19175198800314058,0.8,0.17612575467590513,0.1,0.2,0.8,0.2,7139002048363152400.0,15
consensus,heterogeneous,36,180,0,2,2,0.5,0.5,0.75,0.7222222222222218,0.38888888888888834,0.43981481481481494,0.4806557023659207,0.5277777777777782,0.4583333333333333,0.625,0.8333333333333334,0.22222222222222165,0.4664351851851852,0.5333333333333334,0.04084088755110576,0.01422051718073553,0.04712207541185753,0.02232236903258739,0.1443442976340793,0.35267763096741267,0.25843348014369905,0.1,0.16808486446352122,0.8,0.19467311161031967,0.1,0.2,0.8,0.2,7139002048363152400.0,15
consensus,heterogeneous,36,181,0,2,2,0.38888888888888834,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.3888888888888887,0.4881134794264318,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3958333333333333,0.5833333333333333,0.09922459053754312,0.09228014609309848,0.2381134794264318,0.17855318724023483,0.17855318724023483,0.17855318724023483,0.17855318724023483,0.1,0.2122624244729362,0.8,0.22995191285067143,0.1,0.2,0.8,0.2,7139002048363152400.0,15
consensus,heterogeneous,36,178,1,2,2,0.694444444444445,0.75,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.6250000000000001,0.5527714842663136,0.944444444444445,1.0,0.6666666666666666,0.6111111111111116,0.11111111111111167,0.7546296296296301,0.666666666666667,-0.0722285157336865,0.20185814536331648,0.39167296017813136,0.4472285157336864,0.11389518240035301,0.05833962684479799,0.44166037315520196,0.1,0.27373952783379296,0.8,0.3394874761515646,0.1,0.2,0.8,0.2,7240713591891685400.0,15
consensus,heterogeneous,36,179,1,2,2,0.6111111111111116,0.875,0.25,0.7222222222222218,0.38888888888888834,0.6446759259259262,0.5627218178367024,0.7222222222222218,0.9166666666666666,0.125,0.7222222222222218,0.3333333333333333,0.7129629629629634,0.5638888888888888,-0.08195410808922376,0.15024114512626097,0.15950040438551938,0.35394484882996424,0.4377218178367024,0.15950040438551938,0.22938848450336907,0.1,0.19175198800314058,0.8,0.17612575467590513,0.1,0.2,0.8,0.2,7240713591891685400.0,15
consensus,heterogeneous,36,180,0,2,2,0.5,0.5,0.75,0.7222222222222218,0.38888888888888834,0.43981481481481494,0.5058591204938987,0.5277777777777782,0.4583333333333333,0.625,0.8333333333333334,0.22222222222222165,0.4664351851851852,0.5333333333333334,0.06604430567908376,0.03942393530871352,0.02191865728387954,0.04752578716056538,0.1191408795061013,0.3274742128394347,0.28363689827167704,0.1,0.16808486446352122,0.8,0.19467311161031967,0.1,0.2,0.8,0.2,7240713591891685400.0,15
consensus,heterogeneous,36,181,0,2,2,0.38888888888888834,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.3888888888888887,0.475504481579772,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3958333333333333,0.5833333333333333,0.08661559269088331,0.07967114824643867,0.225504481579772,0.19116218508689464,0.19116218508689464,0.19116218508689464,0.19116218508689464,0.1,0.2122624244729362,0.8,0.22995191285067143,0.1,0.2,0.8,0.2,7240713591891685400.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5255792434222825,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.18043927509623603,0.1920133491703101,0.39108742324438417,0.39108742324438417,0.19224591008894915,0.3077540899110509,0.24780146564450412,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,7924300342041792500.0,15
consensus,heterogeneous,51,248,1,3,3,0.8888888888888884,0.875,0.4166666666666667,0.8888888888888884,0.0,0.7233796296296297,0.5185379655978155,0.8888888888888884,0.9166666666666666,0.20833333333333334,0.8333333333333334,0.0,0.7777777777777776,0.5694444444444444,-0.20484166403181414,0.25923981217996206,0.3703509232910729,0.3981287010688511,0.31020463226448214,0.31479536773551786,0.5185379655978155,0.8104404181991616,0.5752559640094217,0.8318519132591666,0.05225150935181025,0.5,0.6,0.5,0.1,7924300342041792500.0,15
consensus,heterogeneous,51,249,1,3,3,0.694444444444445,0.9166666666666666,0.20833333333333334,0.6666666666666666,0.38888888888888834,0.6921296296296298,0.529834915683928,0.6388888888888884,1.0,0.20833333333333334,0.5,0.6111111111111116,0.689814814814815,0.5916666666666666,-0.16229471394570172,0.15997989913088695,0.10905397320496035,0.47016508431607196,0.3215015823505947,0.02983491568392804,0.08127619542718356,0.4236494748948889,0.5042545933905637,0.3897787060881273,0.0893462232206393,0.5,0.6,0.5,0.1,7924300342041792500.0,15
consensus,heterogeneous,51,250,0,3,3,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.548611111111111,0.5277747768050435,0.7777777777777782,0.625,0.625,0.6666666666666666,0.22222222222222165,0.59837962962963,0.5833333333333333,-0.02083633430606757,0.0706048528245865,0.25000300097273476,0.09722522319495652,0.09722522319495652,0.13889188986162315,0.3055525545828218,0.23385952101442958,0.6367872734188085,0.6243735900599356,0.15990382570134287,0.5,0.6,0.5,0.1,7924300342041792500.0,15
consensus,heterogeneous,51,251,0,3,3,0.5277777777777782,0.625,0.75,0.7777777777777782,0.44444444444444503,0.45949074074074064,0.4756334930493419,0.694444444444445,0.8333333333333334,0.7083333333333334,0.944444444444445,0.555555555555555,0.513888888888889,0.7472222222222223,0.01614275230860124,0.03825539583954707,0.2188109513951031,0.3576998402839915,0.2326998402839915,0.4688109513951031,0.07992206250621314,0.02285639168096248,0.601636385795453,0.3848615716019882,0.01,0.5,0.6,0.5,0.1,7924300342041792500.0,15
consensus,heterogeneous,51,252,0,3,3,0.694444444444445,0.5833333333333334,0.8333333333333334,0.944444444444445,0.5,0.4398148148148148,0.5000246928700185,0.6111111111111116,0.625,0.7916666666666666,0.944444444444445,0.555555555555555,0.4270833333333334,0.7055555555555556,0.06020987805520367,0.07294135953668507,0.11108641824109311,0.1249753071299815,0.29164197379664814,0.4444197515744265,0.05553086268553653,0.7081770210146029,0.5973101634590349,0.40184184578405624,0.3249746120536059,0.5,0.6,0.5,0.1,7924300342041792500.0,15
consensus,heterogeneous,51,247,1,3,3,0.805555555555555,0.9166666666666666,0.2916666666666667,0.8333333333333334,0.22222222222222165,0.7060185185185185,0.5558799028953958,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.27777777777777835,0.7175925925925926,0.6555555555555557,-0.1501386156231227,0.16171268969719677,0.36078676377127084,0.36078676377127084,0.22254656956206248,0.2774534304379376,0.27810212511761745,0.5029684412709559,0.8212185835013789,0.6326764946367538,0.37897495230312916,0.5,0.6,0.5,0.1,7128893484183252000.0,15
