model_type,use_heterogeneous_agents,convergence_rate,confidence_threshold,repulsion_strength,repulsion_threshold,mae,selected_debate_id
bipolarization,false,0.1,0.4,0.2,0.6,0.0350962830762244,22
bipolarization,false,0.2,0.4,0.3,0.6,0.044717907203919,43
bipolarization,false,0.3,0.3,0.3,0.7,0.0453348222533624,40
bipolarization,false,0.2,0.3,0.1,0.8,0.0454389484800414,43
bipolarization,false,0.1,0.2,0.3,0.8,0.0503315579665957,31
bipolarization,false,0.5,0.2,0.1,0.4,0.0519644282575641,1
bipolarization,false,0.2,0.2,0.3,0.4,0.0598572753232276,18
bipolarization,false,0.1,0.4,0.3,0.8,0.062281274392587,30
bipolarization,false,0.1,0.5,0.1,0.8,0.0636064814451381,39
bipolarization,false,0.1,0.2,0.2,0.8,0.0636123001615089,13
bipolarization,true,0.1,0.5,0.1,0.8,0.0381007197164112,54
bipolarization,true,0.1,0.2,0.1,0.7,0.0440474032654004,40
bipolarization,true,0.1,0.2,0.3,0.7,0.0475293099923325,31
bipolarization,true,0.2,0.2,0.1,0.6,0.0556678545571627,11
bipolarization,true,0.5,0.5,0.3,0.7,0.0627007987786121,30
bipolarization,true,0.5,0.3,0.1,0.4,0.0642361206638779,39
bipolarization,true,0.5,0.2,0.3,0.4,0.0651157613555623,31
bipolarization,true,0.1,0.3,0.2,0.4,0.06968389554703,28
bipolarization,true,0.1,0.2,0.3,0.6,0.0778330276871825,15
bipolarization,true,0.2,0.3,0.1,0.7,0.0779372738376454,50
clustering,false,0.2,0.6,0.2,0.5,0.0357633497818205,22
clustering,false,0.3,0.6,0.3,0.5,0.0451116713521162,43
clustering,false,0.3,0.4,0.1,0.8,0.0461496050169368,43
clustering,false,0.4,0.4,0.3,0.6,0.046644881093472,40
clustering,false,0.1,0.2,0.3,0.8,0.0503315579665957,31
clustering,false,0.5,0.2,0.1,0,0.0519644282575641,1
clustering,false,0.1,0.5,0.3,0.8,0.062281274392587,30
clustering,false,0.1,0.7,0.1,0.8,0.0636064814451381,39
clustering,false,0.1,0.3,0.2,0.8,0.0636123001615089,13
clustering,false,0.3,0.3,0.1,0,0.0694419498702178,7
clustering,true,0.2,0.4,0.1,0.6,0.0435970803898786,43
clustering,true,0.3,0.4,0.1,0.8,0.0470346834664891,43
clustering,true,0.2,0.3,0.3,0.6,0.0503080126505048,31
clustering,true,0.5,0.6,0.1,0.8,0.0614093574422844,50
clustering,true,0.1,0.7,0.3,0.5,0.0649207942403771,11
clustering,true,0.1,0.3,0.2,0.8,0.0670715025875218,13
clustering,true,0.3,0.8,0.1,0.2,0.0673874925264169,53
clustering,true,0.4,0.2,0.3,0,0.07256412386203,50
clustering,true,0.5,0.2,0.2,0.5,0.0742899448353948,50
clustering,true,0.4,0.4,0.1,0.5,0.0745886300757837,50
consensus,false,0.1,0.6,0.2,0.5,0.0345220028374668,22
consensus,false,0.2,0.6,0.3,0.5,0.0433948476188585,43
consensus,false,0.2,0.4,0.1,0.8,0.0449732216858506,43
consensus,false,0.3,0.5,0.3,0.6,0.0451223384941368,40
consensus,false,0.1,0.2,0.3,0.8,0.0471065833770436,31
consensus,false,0.1,0.5,0.3,0.8,0.0575152844251881,30
consensus,false,0.1,0.8,0.1,0.8,0.062038299014983,39
consensus,false,0.1,0.5,0.1,0.8,0.0723819044916761,28
consensus,false,0.3,0.2,0.3,0,0.0724120788241586,50
consensus,false,0.5,0.6,0.1,0.8,0.0761433105095662,50
consensus,true,0.1,0.8,0.1,0.8,0.0376743545403547,54
consensus,true,0.1,0.2,0.1,0.6,0.0431331466568497,40
consensus,true,0.1,0.4,0.3,0.6,0.0505116740120643,31
consensus,true,0.2,0.2,0.1,0.5,0.0553236514049205,11
consensus,true,0.5,0.4,0.1,0,0.064200324278786,39
consensus,true,0.5,0.8,0.3,0.6,0.0654685729338995,30
consensus,true,0.1,0.4,0.2,0,0.0666504958157442,28
consensus,true,0.2,0.4,0.1,0.6,0.0760861112124584,50
consensus,true,0.1,0.2,0.3,0.5,0.0774381895721525,15
consensus,true,0.2,0.4,0.3,0.8,0.0783784150631427,48
