model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,experiment_id
consensus,homogeneous,42,H21,261,0,0,4,0.555555555555555,0.5,0.75,0.7222222222222218,0.38888888888888834,0.45370370370370366,0.00128224062821502,0.45443740432833324,0.47222222222222165,0.625,0.6666666666666666,0.7777777777777782,0.5,0.45023148148148145,0.6083333333333333,0.00073370062462957,0.00420592284685178,0.01778481789388842,0.17056259567166676,0.2122292623383334,0.323340373449445,0.04556259567166676,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2040693430813089790.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,262,0,0,4,0.75,0.5,0.6666666666666666,0.8333333333333334,0.38888888888888834,0.4976851851851853,0.00128224062821502,0.4546377776786927,0.555555555555555,0.5416666666666666,0.8333333333333334,0.8333333333333334,0.44444444444444503,0.42245370370370366,0.6416666666666667,-0.04304740750649261,0.03218407397498901,0.10091777787686235,0.08702888898797395,0.3786955556546407,0.3786955556546407,0.01019333323424765,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2040693430813089790.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,263,0,0,4,0.5,0.7916666666666666,0.5416666666666666,1.0,0.555555555555555,0.47337962962962976,0.00128224062821502,0.4544132123929534,0.5,0.8333333333333334,0.625,1.0,0.6111111111111116,0.46064814814814814,0.713888888888889,-0.01896641723667636,0.00623493575519474,0.0455867876070466,0.37892012094037997,0.1705867876070466,0.5455867876070466,0.1566978987181582,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2040693430813089790.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,264,0,0,4,0.5,0.5833333333333334,1.0,0.8333333333333334,0.38888888888888834,0.400462962962963,0.00128224062821502,0.45402857730331936,0.44444444444444503,0.5,0.9583333333333334,0.8333333333333334,0.555555555555555,0.3449074074074075,0.6583333333333334,0.05356561434035634,0.10912116989591186,0.00958413285887433,0.04597142269668064,0.504304756030014,0.379304756030014,0.10152697825223567,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2040693430813089790.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,261,0,0,4,0.555555555555555,0.5,0.75,0.7222222222222218,0.38888888888888834,0.45370370370370366,0.00128224062821502,0.45443740432833324,0.47222222222222165,0.625,0.6666666666666666,0.7777777777777782,0.5,0.45023148148148145,0.6083333333333333,0.00073370062462957,0.00420592284685178,0.01778481789388842,0.17056259567166676,0.2122292623383334,0.323340373449445,0.04556259567166676,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3008069215328862200.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,262,0,0,4,0.75,0.5,0.6666666666666666,0.8333333333333334,0.38888888888888834,0.4976851851851853,0.00128224062821502,0.4546377776786927,0.555555555555555,0.5416666666666666,0.8333333333333334,0.8333333333333334,0.44444444444444503,0.42245370370370366,0.6416666666666667,-0.04304740750649261,0.03218407397498901,0.10091777787686235,0.08702888898797395,0.3786955556546407,0.3786955556546407,0.01019333323424765,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3008069215328862200.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,263,0,0,4,0.5,0.7916666666666666,0.5416666666666666,1.0,0.555555555555555,0.47337962962962976,0.00128224062821502,0.4544132123929534,0.5,0.8333333333333334,0.625,1.0,0.6111111111111116,0.46064814814814814,0.713888888888889,-0.01896641723667636,0.00623493575519474,0.0455867876070466,0.37892012094037997,0.1705867876070466,0.5455867876070466,0.1566978987181582,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3008069215328862200.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,264,0,0,4,0.5,0.5833333333333334,1.0,0.8333333333333334,0.38888888888888834,0.400462962962963,0.00128224062821502,0.45402857730331936,0.44444444444444503,0.5,0.9583333333333334,0.8333333333333334,0.555555555555555,0.3449074074074075,0.6583333333333334,0.05356561434035634,0.10912116989591186,0.00958413285887433,0.04597142269668064,0.504304756030014,0.379304756030014,0.10152697825223567,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3008069215328862200.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,261,0,0,4,0.555555555555555,0.5,0.75,0.7222222222222218,0.38888888888888834,0.45370370370370366,0.00128224062821502,0.45443740432833324,0.47222222222222165,0.625,0.6666666666666666,0.7777777777777782,0.5,0.45023148148148145,0.6083333333333333,0.00073370062462957,0.00420592284685178,0.01778481789388842,0.17056259567166676,0.2122292623383334,0.323340373449445,0.04556259567166676,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,8046790094384007200.0,15,false,cons_ndist_nospeak
consensus,homogeneous,42,H21,262,0,0,4,0.75,0.5,0.6666666666666666,0.8333333333333334,0.38888888888888834,0.4976851851851853,0.00128224062821502,0.4546377776786927,0.555555555555555,0.5416666666666666,0.8333333333333334,0.8333333333333334,0.44444444444444503,0.42245370370370366,0.6416666666666667,-0.04304740750649261,0.03218407397498901,0.10091777787686235,0.08702888898797395,0.3786955556546407,0.3786955556546407,0.01019333323424765,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,8046790094384007200.0,15,false,cons_ndist_nospeak
