"ID","Age","Genre","Education","CurrentRegime","ConsoRed","ConsoTransfo","ConsoPoultry","QIntentionsConsoT0","QIntentionsTransfoT0","QTransfoIntensityT0","QIntentionsRedT0","QRedIntensityT0","QIntentionsPoulT0","QPoulIntensityT0","Failed_Attention_DB1","QIntentionsConsoT1","QIntentionsTransfoT1","QTransfoIntensityT1","QIntentionsRedT1","QRedIntensityT1","QIntentionsPoulT1","QPoulIntensityT1","consultation_duration","MixedOpinions","ID_Group","DBAttitudesT0.DB1.","DBAttitudesT0.DB2.","DBAttitudesT0.DB3.","DBAttitudesT0.DB4.","DBAttitudesT0.DB5.","DBAttitudesT0.DB6.","DBAttitudesT0.DB7.","DBAttitudesT0.DB8.","DBAttitudesT0.DB9.","DBAttitudesT0.DB10.","DBAttitudesT0.DB11.","DBAttitudesT0.DB12.","DBAttitudesT0.DB13.","DBAttitudesT0.DB14.","DBAttitudesT0.DB15.","DBAttitudesT0.DB16.","DBAttitudesT0.DB17.","DBAttitudesT0.DB18.","DBAttitudesT0.DB19.","DBAttitudesT0.DB20.","DBAttitudesT0.DB21.","DBAttitudesT0.DB22.","DBAttitudesT0.DB23.","DBAttitudesT1.DB1.","DBAttitudesT1.DB2.","DBAttitudesT1.DB3.","DBAttitudesT1.DB4.","DBAttitudesT1.DB5.","DBAttitudesT1.DB6.","DBAttitudesT1.DB7.","DBAttitudesT1.DB8.","DBAttitudesT1.DB9.","DBAttitudesT1.DB10.","DBAttitudesT1.DB11.","DBAttitudesT1.DB12.","DBAttitudesT1.DB13.","DBAttitudesT1.DB14.","DBAttitudesT1.DB15.","DBAttitudesT1.DB16.","DBAttitudesT1.DB17.","DBAttitudesT1.DB18.","DBAttitudesT1.DB19.","DBAttitudesT1.DB20.","DBAttitudesT1.DB21.","DBAttitudesT1.DB22.","DBAttitudesT1.DB23.","Failed_Attention_DB2","QIntentionsTransfoT2","QTransfoIntensityT2","QIntentionsRedT2","QRedIntensityT2","DebateCondition","DBAttitudesT2.DB1.","DBAttitudesT2.DB2.","DBAttitudesT2.DB3.","DBAttitudesT2.DB4.","DBAttitudesT2.DB5.","DBAttitudesT2.DB6.","DBAttitudesT2.DB7.","DBAttitudesT2.DB8.","DBAttitudesT2.DB9.","DBAttitudesT2.DB10.","DBAttitudesT2.DB11.","DBAttitudesT2.DB12.","DBAttitudesT2.DB13.","DBAttitudesT2.DB14.","DBAttitudesT2.DB15.","DBAttitudesT2.DB16.","DBAttitudesT2.DB17.","DBAttitudesT2.DB18.","DBAttitudesT2.DB19.","DBAttitudesT2.DB20.","DBAttitudesT2.DB21.","DBAttitudesT2.DB22.","DBAttitudesT2.DB23.","TransformedNumberTotalBefore","TransformedQuantTotalBefore","RedNumberTotalBefore","RedQuantTotalBefore","PoultryNumberTotalBefore","PoultryQuantTotalBefore","FishNumberTotalBefore","TotalTargetMeatBefore","TotalQuantTargetMeatBefore","Physical1","Nature1","QuantityRed1","QuantityTransfo1","QuantityPoultry1","QuantityFish1","QuantityAnimals1","QuantityVegetals1","Context1","DBAttitudesT3.DB1.","DBAttitudesT3.DB2.","DBAttitudesT3.DB3.","DBAttitudesT3.DB4.","DBAttitudesT3.DB5.","DBAttitudesT3.DB6.","DBAttitudesT3.DB7.","DBAttitudesT3.DB8.","DBAttitudesT3.DB9.","DBAttitudesT3.DB10.","DBAttitudesT3.DB11.","DBAttitudesT3.DB12.","DBAttitudesT3.DB13.","DBAttitudesT3.DB14.","DBAttitudesT3.DB15.","DBAttitudesT3.DB16.","DBAttitudesT3.DB17.","DBAttitudesT3.DB18.","DBAttitudesT3.DB19.","DBAttitudesT3.DB20.","DBAttitudesT3.DB21.","DBAttitudesT3.DB22.","DBAttitudesT3.DB23.","Failed_Attention_Final","TransformedNumberTotalAfter","TransformedQuantTotalAfter","RedNumberTotalAfter","RedQuantTotalAfter","PoultryNumberTotalAfter","PoultryQuantTotalAfter","FishNumberTotalAfter","TotalTargetMeatAfter","TotalQuantTargetMeatAfter","Physical2","Nature2","QuantityRed2","QuantityTransfo2","QuantityPoultry2","QuantityFish2","QuantityAnimals2","QuantityVegetals2","Context2","RespectChallenge","MeatDiminishRed","MeatDiminishTransfo","Perceptions.Perc1.","Perceptions.Perc2.","Perceptions.Perc3.","Failed_Attention_Confirmation","perceived_norms","self_control","environmental_prepotency","perceived_control","DBFactor1T0","DBFactor2T0","DBFactor3T0","DBFactor4T0","DBFactor5T0","DB_IndexT0","DBFactor1T1","DBFactor2T1","DBFactor3T1","DBFactor4T1","DBFactor5T1","DB_IndexT1","DBFactor1T2","DBFactor2T2","DBFactor3T2","DBFactor4T2","DBFactor5T2","DB_IndexT2","DBFactor1T3","DBFactor2T3","DBFactor3T3","DBFactor4T3","DBFactor5T3","DB_IndexT3","Pro_reduction","Attention_failed","Condition","Red_reduction","Processed_reduction","Poultry_reduction","Fish_increase","Eat_Target_Meat","Het","Hom","ID_Group_all"
273,41,0,14,"A1","A1","A1","A1","A1","A1",0.142857142857143,"A1",1,"A1",1,0,"A1","A1",0.428571428571429,"A1",0.285714285714286,"A1",0.142857142857143,13,NA,NA,7,6,7,7,7,7,6,7,7,7,2,4,3,1,4,5,5,6,6,3,6,6,7,6,4,7,7,6,6,7,6,7,7,6,5,5,5,6,6,6,5,5,4,5,6,6,0,1,0.142857142857143,1,0.142857142857143,0,6,5,6,6,6,7,7,6,7,7,5,5,5,6,7,6,5,6,6,2,6,6,6,2,100,1,100,0,0,0,3,200,"A2",0,0,0,0,0,0,0,0,5,5,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,0,0,0,0,0,0,0,0,0,0,"A2",0,1,1,1,0,0,0,0,1,1,1,6,6,6,0,11,49,3.66666666666667,7.5,6.83333333333333,6.75,2.5,4.66666666666667,5,2.73611111111111,6,6.75,5.25,6,4.66666666666667,1.06944444444444,6,6.75,5.25,6,4.66666666666667,1.06944444444444,5.5,6,5.75,6,6,-0.166666666666667,1,0,"Control",1,1,0,0,1,0,0,"273"
274,30,0,12,"A1","A1","A1","A1","A1","A1",0.142857142857143,"A1",0.142857142857143,"A1",0.142857142857143,0,"A1","A1",0.285714285714286,"A1",0.285714285714286,"A2",NA,7,NA,NA,7,7,7,7,7,7,7,7,7,7,4,4,4,5,6,6,7,6,4,3,4,5,5,6,7,7,7,6,6,7,7,7,7,5,6,7,6,7,7,6,7,3,3,7,3,7,0,1,0.285714285714286,1,0.285714285714286,0,6,7,7,7,6,5,7,7,7,7,5,5,7,7,7,7,7,4,3,3,6,3,5,0,0,0,0,2,100,1,0,0,"A2",0,0,0,0,0,0,0,0,6,6,6,7,7,7,7,7,5,7,6,7,7,7,7,7,7,5,1,4,5,3,7,0,0,0,0,0,1,100,0,0,0,"A2",1,1,1,1,0,0,1,0,1,1,1,7,6,5,0,15,52,4,9,7,7,4.25,6.33333333333333,4.33333333333333,2.02777777777778,6.5,7,6,6.66666666666667,4.33333333333333,1.08333333333333,6.33333333333333,7,6,7,3.33333333333333,1.22222222222222,6.5,6.5,6.75,7,3.33333333333333,0.805555555555556,1,0,"Control",0,0,1,0,1,0,0,"274"
275,39,0,14,"A1","A1","A1","A1","A1","A1",0.428571428571429,"A1",0.571428571428571,"A1",0.571428571428571,0,"A3","A3",NA,"A3",NA,"A3",NA,91,NA,NA,7,7,7,6,5,5,6,7,7,7,1,1,1,1,7,7,7,5,5,1,1,1,5,7,1,7,7,7,7,7,7,7,7,1,1,1,1,7,6,7,7,7,5,7,7,7,0,1,0.142857142857143,1,0.142857142857143,0,7,1,7,7,7,7,7,7,7,7,1,1,1,1,7,6,6,6,5,1,1,1,7,5,250,3,200,0,0,0,8,450,"A2",0,1,0,0,0,0,0,0,6,5,7,7,5,6,7,7,7,7,1,1,1,1,6,7,6,1,1,1,1,5,7,0,3,150,1,100,0,0,1,4,250,"A2",1,1,1,1,0,0,0,1,1,1,1,7,7,7,0,14.5,52,3.66666666666667,9.5,6.16666666666667,6.75,1,7,3.66666666666667,2.56944444444445,6,7,1,6.66666666666667,6.33333333333333,1.83333333333333,6,7,1,6.33333333333333,4,2.72222222222222,6,7,1,6.33333333333333,1,3.72222222222222,1,0,"Control",1,1,0,1,1,0,0,"275"
276,64,0,14,"A2","A1","A1","A1","A1","A3",NA,"A1",0.142857142857143,"A2",NA,0,"A1","A1",0.107142857142857,"A1",0.142857142857143,"A3",NA,49,NA,NA,7,5,5,4,5,7,7,7,7,7,3,4,3,4,2,5,5,4,4,2,3,1,7,7,3,4,5,6,7,7,7,7,7,3,3,3,3,3,5,5,5,5,2,4,5,5,0,1,0.142857142857143,1,0.142857142857143,0,7,3,5,5,7,7,7,7,7,7,1,1,1,4,4,5,5,5,5,1,4,5,6,5,175,1,100,1,50,1,6,275,"A3",1,0,0,0,2,0,0,1,7,4,5,5,5,7,7,7,7,7,1,1,2,7,1,5,5,4,5,1,4,6,7,0,2,50,2,150,1,100,0,4,200,"A2",1,1,1,0,2,0,0,0,0,0,0,7,6,5,0,13.5,52,2.33333333333333,7,5.5,7,3.5,4,3.33333333333333,2.63888888888889,5.33333333333333,7,3,4.33333333333333,4,2.38888888888889,5.66666666666667,7,1.75,4.66666666666667,3.66666666666667,2.97222222222222,5.5,7,2.75,3.66666666666667,3.33333333333333,3,1,0,"Control",0,1,0,0,1,0,0,"276"
277,45,1,14,"A2","A1","A1","A1","A1","A1",0.142857142857143,"A1",0.285714285714286,"A1",0.285714285714286,0,"A1","A1",0.285714285714286,"A1",0.142857142857143,"A1",0.285714285714286,46,NA,NA,5,7,6,7,6,7,7,7,6,7,4,4,4,4,6,4,5,1,3,1,3,3,7,6,7,7,7,7,7,7,7,6,7,4,5,4,4,5,3,5,3,2,2,3,3,7,0,1,0.285714285714286,1,0.285714285714286,0,7,7,7,7,5,7,7,7,4,5,4,4,5,4,5,4,5,1,1,1,4,1,6,1,50,0,0,0,0,0,1,50,"A2",0,0,0,0,0,1,0,0,7,7,7,7,5,7,7,6,6,6,4,5,5,4,5,4,5,1,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,"A2",0,1,1,1,0,0,1,0,1,1,1,7,7,7,0,7,56,4.66666666666667,10,6.33333333333333,6.75,4,5,1.66666666666667,2.98611111111111,6.83333333333333,6.75,4.25,4.33333333333333,2.33333333333333,3.15277777777778,6.66666666666667,5.75,4.25,4.66666666666667,1,2.90277777777778,6.66666666666667,6.25,4.5,4.66666666666667,1,3.06944444444444,1,0,"Control",0,1,0,0,1,0,0,"277"
278,45,0,17,"A2","A1","A1","A1","A3","A3",NA,"A3",NA,"A3",NA,0,"A3","A3",NA,"A3",NA,"A3",NA,28,NA,NA,6,7,4,7,6,7,7,7,3,3,3,3,1,1,6,6,5,1,1,1,5,1,7,7,7,3,7,7,7,7,7,3,5,1,2,1,1,5,5,6,1,1,1,5,1,7,0,1,0.142857142857143,1,0.142857142857143,0,7,7,3,7,7,7,7,7,2,6,1,1,1,1,5,6,6,1,1,1,6,1,7,4,200,0,0,2,200,1,4,200,"A2",0,0,0,0,0,0,0,0,7,6,3,7,5,7,7,7,5,5,1,6,1,1,5,6,6,1,1,1,5,1,7,0,1,50,1,100,2,150,2,2,150,"A2",0,0,1,0,1,0,0,0,1,1,1,7,6,3,0,18,59,4.66666666666667,10,6.16666666666667,5,2,5.66666666666667,1,2.69444444444444,6.33333333333333,5.5,1.25,5.33333333333333,1,3.38888888888889,6.33333333333333,5.5,1,5.66666666666667,1,3.36111111111111,5.83333333333333,6,2.25,5.66666666666667,1,2.94444444444444,1,0,"Control",0,1,0,1,1,0,0,"278"
279,40,1,14,"A1","A1","A1","A1","A1","A1",0.142857142857143,"A1",1,"A1",1,0,"A1","A1",0.285714285714286,"A1",0.142857142857143,"A1",0.142857142857143,17,NA,NA,7,6,6,5,6,7,6,7,7,7,3,4,4,3,4,5,5,6,4,2,5,7,7,5,6,5,6,5,6,7,6,7,6,7,4,5,4,6,6,6,6,5,5,6,6,6,0,1,0.142857142857143,1,0.142857142857143,0,5,5,6,6,6,7,6,7,6,7,4,4,4,4,6,6,5,6,5,3,5,6,6,1,50,0,0,1,100,0,1,50,"A2",0,0,0,0,0,0,0,0,5,6,5,6,6,5,6,6,6,5,6,6,5,6,6,6,5,5,4,5,5,5,5,0,0,0,2,200,0,0,0,2,200,"A2",0,1,1,1,0,0,0,0,1,1,1,6,6,6,0,11,43,3.66666666666667,7.5,6.16666666666667,6.75,3.5,4.66666666666667,4,2.40277777777778,5.5,6.5,5,6,5.33333333333333,0.555555555555556,5.83333333333333,6.5,4,5.66666666666667,4.66666666666667,1.38888888888889,5.5,5.75,5.75,5.66666666666667,4.66666666666667,0.263888888888888,1,0,"Control",0,1,1,0,1,0,0,"279"
280,57,0,11,"A1","A1","A1","A1","A2","A2",NA,"A2",NA,"A2",NA,0,"A3","A3",NA,"A3",NA,"A3",NA,49,NA,NA,3,4,4,6,4,4,5,7,4,2,7,7,7,7,7,7,6,4,4,5,6,7,3,5,4,6,5,4,4,6,7,4,4,7,7,6,7,7,7,7,3,1,7,7,6,4,0,1,0.142857142857143,1,0.142857142857143,0,4,3,5,6,6,4,7,7,4,4,7,7,7,7,7,7,7,4,4,5,6,6,5,5,250,0,0,3,300,1,5,250,"A2",0,0,0,0,0,0,0,0,4,4,2,5,4,4,6,7,4,5,7,7,7,7,7,7,7,5,6,7,7,7,4,0,5,250,4,400,0,0,4,9,650,"A2",0,0,0,0,0,0,1,0,2,0,0,7,4,4,0,16,59,4,10,4.16666666666667,4.5,7,6.66666666666667,4.33333333333333,-1.66666666666667,4.66666666666667,5.25,6.75,7,3.66666666666667,-0.847222222222222,4.66666666666667,5.5,7,7,4.33333333333333,-1.02777777777778,3.83333333333333,5.5,7,7,6,-2,0,0,"Control",0,0,1,1,1,0,0,"280"
281,21,0,12,"A1","A1","A1","A1","A3","A3",NA,"A3",NA,"A3",NA,0,"A3","A3",NA,"A3",NA,"A3",NA,36,NA,NA,5,2,5,7,5,5,7,5,2,5,3,3,5,2,7,5,7,5,5,5,2,6,3,7,3,6,7,4,6,5,5,1,5,5,5,2,5,7,6,7,6,5,2,3,6,4,0,1,0.285714285714286,1,0.142857142857143,0,6,3,5,6,4,7,7,5,1,5,4,5,3,6,6,6,7,5,5,2,3,6,4,14,975,0,0,2,175,2,14,975,"A2",0,1,0,1,0,0,0,0,5,3,5,5,4,6,5,5,1,5,4,5,5,6,6,6,6,5,5,2,2,5,4,0,7,650,0,0,6,650,1,7,650,"A3",0,1,0,1,0,0,0,0,0,1,0,6,5,4,0,11,45,2.66666666666667,6,4.83333333333333,4.75,3.25,6.33333333333333,5,-0.0694444444444446,5.5,4,4.25,6.66666666666667,4.33333333333333,-0.333333333333333,5.16666666666667,4.5,4.5,6.33333333333333,4,-0.11111111111111,4.66666666666667,4,5,6,4,-0.666666666666666,0,0,"Control",0,1,0,0,1,0,0,"281"
282,20,0,11,"A1","A1","A1","A1","A3","A3",NA,"A3",NA,"A3",NA,0,"A2","A2",NA,"A2",NA,"A2",NA,7,NA,NA,1,1,1,1,1,1,5,4,1,4,7,4,5,4,7,7,7,7,7,7,7,4,4,4,3,1,7,3,6,7,4,7,7,5,4,7,1,7,7,7,7,1,1,4,1,4,0,1,0.142857142857143,1,0.285714285714286,0,4,6,4,7,4,7,7,4,5,7,6,4,5,1,7,7,7,1,1,1,5,1,4,18,510,5,500,0,0,0,23,1010,"A2",0,0,0,0,0,0,0,1,4,4,1,6,4,4,7,5,7,7,7,4,4,4,7,7,7,1,1,4,7,4,4,0,1,100,4,500,2,200,0,5,600,"A2",0,0,0,0,0,0,0,0,0,1,0,7,4,4,0,16,55,4.33333333333333,10,1,3.5,5,7,7,-4.08333333333333,4,6.25,4.25,7,3,0.375,5.33333333333333,5.75,4,7,1,1.54166666666667,3.83333333333333,6.5,4.75,7,2,0.583333333333334,0,0,"Control",1,1,0,0,1,0,0,"282"
