model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
clustering,homogeneous,7,H4,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.5,0.7,0.0,0.0,0.05,0.1,0.0,0.0,15,0.00232084297839506,0.05631431071307817,0.00000000000483338,0.00000000000000055,1,2,0.0,0.0
clustering,heterogeneous,1,M1,clst_dist_nospeak,true,false,0,7240713591891685400.0,0,0.5,0.2,0.0,0.0,0.05,0.1,0.0,0.0,15,0.0306388856143309,0.0497947744263052,0.03011326824910893,0.02890890848128721,2,3,0.0,0.0
clustering,homogeneous,33,H15,clst_dist_nospeak,true,false,0,4692690466958798800.0,0,0.1,0.5,0.0,0.0,0.2,0.2,0.0,0.0,15,0.00240269204389574,0.04679433182149155,0.00158994440409834,0.00111888446647848,2,3,0.0,0.0
clustering,homogeneous,33,H15,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.1,0.5,0.0,0.0,0.2,0.2,0.0,0.0,15,0.00240269204389574,0.04679433182149155,0.00158994440409834,0.00111888446647848,2,3,0.0,0.0
clustering,heterogeneous,13,M14,clst_dist_nospeak,true,false,0,8636175130330607600.0,0,0.3,0.3,0.0,0.0,0.1,0.1,0.0,0.0,15,0.0108926683241884,0.0851802107344718,0.00005961818740021,0.00002054819893125,2,4,0.0,0.0
clustering,heterogeneous,13,M14,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.3,0.3,0.0,0.0,0.1,0.1,0.0,0.0,15,0.0108926683241884,0.0851802107344718,0.00005961818740021,0.00002054819893125,2,4,0.0,0.0
clustering,homogeneous,7,H4,clst_dist_nospeak,true,false,0,7139002048363152400.0,0,0.5,0.7,0.0,0.0,0.05,0.1,0.0,0.0,15,0.00232084297839506,0.05631431071307817,0.00000000000483338,0.00000000000000055,1,2,0.0,0.0
consensus,homogeneous,24,H12,cons_dist_nospeak,true,false,0,7139002048363152400.0,0,0.4,0.0,0.0,0.0,0.05,0.0,0.0,0.0,15,0.00771504468878602,0.0609638036870309,0.00000206103204492,0.00000002432425606,1,3,0.0,0.0
clustering,heterogeneous,1,M1,clst_dist_nospeak,true,false,0,7139002048363152400.0,0,0.5,0.2,0.0,0.0,0.05,0.1,0.0,0.0,15,0.0306388856143309,0.0497947744263052,0.03011326824910893,0.02890890848128721,2,3,0.0,0.0
clustering,heterogeneous,21,M27,clst_dist_nospeak,true,false,0,7240713591891685400.0,0,0.3,0.4,0.0,0.0,0.1,0.0,0.0,0.0,20,0.01066925416285628,0.08309081496226343,0.00000326850944268,0.00000353665727097,1,4,0.0,0.0
