model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,1885650141185056770.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,2543141561580141600.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,5734041197354054700.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,159318164985604096.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,2224848723475968000.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,2676241033099598800.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,5797746608050602000.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,8933356665710610400.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,1987827059225318400.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,2404130499205115900.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,8587055485591091200.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,2215649709189210110.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,8865344308753539100.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,3812440506973573100.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,344027734080329730.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,3169486463675665400.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,6745530901717559300.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,7842464306279267300.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,5228511647085597700.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,567213252267548670.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,8132460821677902800.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,1631249800969765890.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,528270855957148670.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,4092696958489749500.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,8486700349334809600.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,9013802340782115800.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,4740109351361154000.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
consensus,heterogeneous,55,2,2,0.3,0.8,0.0,0.2,8789104542924982300.0,15,0.1799262009433329,0.00000113256324519,0.00000070498444978,1,4,-0.8,2.0
