model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_heterogeneous_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,5.70257702789059E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,4.6926904669588E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,8.63617513033061E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,8.80361844505413E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,5.70257702789059E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,4.28636038694465E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,4.47792793694704E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,4.6926904669588E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,7.24071359189169E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,8.63617513033061E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,1.09591146466576E+017,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,1.84114252416859E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,7.04337208916658E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,7.13900204836315E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,7.12889348418325E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,41,1,2,0.2,0.4,0.5,0.1,false,0.05,0.1,0.1,0.05,4.47792793694704E+018,20,0.103782698367591,6.82368080943E-06,2.97442659073E-06,1,2,0.1,0,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,4.34257261248481E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
consensus,heterogeneous,1,3,3,0.5,0.2,0,0.1,false,0.05,0.1,0.1,0.05,4.28636038694465E+018,15,0.17621235680436,1.93684743179E-06,1.34431191135E-06,1,3,-0.2,1.5,0.3
