model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,7139002048363152400.0,15,0.10854535416117253,0.00183765622070386,0.00148604829219181,2,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,7240713591891685400.0,15,0.11779859351118241,0.00125197518209376,0.00069382348550052,2,3,0.6000000000000001,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,7924300342041792500.0,15,0.13217244478032963,0.00037586104349932,0.00032190335199433,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,7128893484183252000.0,15,0.12105267180767083,0.00085578731738827,0.00130563072425528,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,2595646474777646100.0,15,0.13579864285098742,0.00055162558554923,0.00048847410154567,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,7139002048363152400.0,15,0.12872743324544908,0.00069406113868518,0.00060505988680694,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4342572612484808700.0,15,0.12288290205118431,0.00076074831825997,0.00115923959625477,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4200730711560847400.0,15,0.1107620969466346,0.00103694278793383,0.00104439811614373,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,8803618445054126100.0,15,0.14273393127487966,0.00024189579339199,0.00016684435671986,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4910962305337055200.0,15,0.13169310628401354,0.00047967977423806,0.00064127474600402,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,7043372089166577700.0,15,0.13399678339463628,0.00045160545875442,0.00051422509760019,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,1831297316135118850.0,15,0.12519278394243924,0.00058880623820976,0.00064601972648526,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,3407647030800275500.0,15,0.13469596025666078,0.0005013255354757,0.00044410594864883,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,997606725876738050.0,15,0.13205177554252565,0.00055568481205482,0.00063236119663459,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,115109577693645824.0,15,0.12477465862922739,0.00058004770341271,0.00067711216372106,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4490502852978390000.0,15,0.13627202714487216,0.00046151031727623,0.00033755036602684,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4398895106259038200.0,15,0.14319080540222298,0.00028990997340152,0.00036085216313331,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4692690466958798800.0,15,0.11900113667028367,0.00077612729248487,0.0008593644212726,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,1841142524168585220.0,15,0.12812387643911582,0.00069670856740787,0.00078455246848056,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,256029315321952256.0,15,0.13803585211302952,0.00040310108494418,0.00043580799222958,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,2787618399357031400.0,15,0.12189609911555159,0.0007111964599047,0.00076113060708915,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,360045816003429380.0,15,0.12584750701627903,0.00074277455024319,0.00058189993079096,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,6872698498072871900.0,15,0.14185739231355443,0.00035623872234126,0.00037371278590192,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4477927936947039200.0,15,0.14201667553190733,0.00027103829224113,0.00029288373241619,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,22746047218290688.0,15,0.1317302636638595,0.00052088000099173,0.00059917497828265,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,109591146466576384.0,15,0.12246650583888381,0.00089939518130368,0.00104533601899606,2,4,-0.09999999999999998,0.0
