model_type,current_condition,use_heterogeneous_agents,mae_mean,mae_min,n_debates
clustering,heterogeneous,false,0.09796896754560945,0.046644881093472,14
bipolarization,heterogeneous,false,0.11834814689242817,0.0453348222533624,14
consensus,heterogeneous,false,0.11845922536090492,0.0451223384941368,14
consensus,heterogeneous,true,0.11473185456666599,0.0431331466568497,12
bipolarization,heterogeneous,true,0.11505108934342957,0.0440474032654004,12
clustering,heterogeneous,true,0.12272581659205882,0.0670715025875218,13
consensus,homogeneous,false,0.06322621589885782,0.0345220028374668,7
bipolarization,homogeneous,false,0.06498136914830092,0.0350962830762244,7
clustering,homogeneous,false,0.06522061452350972,0.0357633497818205,7
clustering,homogeneous,true,0.06819318444369626,0.0435970803898786,7
bipolarization,homogeneous,true,0.08038680010318698,0.0381007197164112,9
consensus,homogeneous,true,0.08204349297887902,0.0376743545403547,9
