model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,seed,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
bipolarization,heterogeneous,33,M31,bipol_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.01,0.2,0.7,0.2,0.05,0.1,0.1,0.05,15,0.01079937132951816,0.01940217872304227,0.01071703306613006,0.01120651366195272,2,2,0.49999999999999994,0.0
consensus,homogeneous,2,H12,cons_dist_speak,true,true,6905470370856337400.0,0,0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.00771504468878602,0.04225181805790952,0.00704633913613681,0.00624141235793353,3,3,0.0,0.0
consensus,homogeneous,2,H12,cons_dist_speak,true,true,7240713591891685400.0,0,0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.00771504468878602,0.04245930265001803,0.00702154214429918,0.00618322142079562,3,3,0.0,0.0
bipolarization,heterogeneous,15,M10,bipol_ndist_nospeak,false,false,4692690466958798800.0,0,0,0.005,0.2,0.7,0.2,0.05,0.1,0.1,0.05,15,0.01932656035665295,0.04232078045741446,0.01877477081937974,0.01375891983270011,3,3,0.49999999999999994,0.0
consensus,heterogeneous,39,M5,cons_dist_speak,true,true,7240713591891685400.0,0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.03097746746875476,0.04905693511922921,0.02860233689229459,0.0222178376571088,4,4,0.0,0.0
bipolarization,heterogeneous,15,M10,bipol_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.005,0.2,0.7,0.2,0.05,0.1,0.1,0.05,15,0.01932656035665295,0.04232078045741446,0.01877477081937974,0.01375891983270011,3,3,0.49999999999999994,0.0
clustering,heterogeneous,16,M12,clst_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.005,0.5,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01905125747492284,0.04573995879244507,0.01666758096223684,0.01008054494149612,3,2,0.0,0.0
bipolarization,homogeneous,7,H19,bipol_ndist_nospeak,false,false,6905470370856337400.0,0,0,0.005,0.2,0.7,0.05,0.05,0.1,0.1,0.05,15,0.00801496443234644,0.04724071898021474,0.00731330793475383,0.00432253122202588,3,3,0.49999999999999994,0.0
bipolarization,homogeneous,7,H19,bipol_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.005,0.2,0.7,0.05,0.05,0.1,0.1,0.05,15,0.00801496443234644,0.04724071898021474,0.00731330793475383,0.00432253122202588,3,3,0.49999999999999994,0.0
bipolarization,homogeneous,7,H19,bipol_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.005,0.2,0.7,0.05,0.05,0.1,0.1,0.05,15,0.00801496443234644,0.04724071898021474,0.00731330793475383,0.00432253122202588,3,3,0.49999999999999994,0.0
clustering,heterogeneous,16,M12,clst_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.005,0.5,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01905125747492284,0.04573995879244507,0.01666758096223684,0.01008054494149612,3,2,0.0,0.0
consensus,homogeneous,2,H12,cons_dist_speak,true,true,7139002048363152400.0,0,0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.00771504468878602,0.04242402928990378,0.00702372594193461,0.0061890338232008,3,3,0.0,0.0
clustering,heterogeneous,16,M12,clst_ndist_nospeak,false,false,4692690466958798800.0,0,0,0.005,0.5,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01905125747492284,0.04573995879244507,0.01666758096223684,0.01008054494149612,3,2,0.0,0.0
clustering,heterogeneous,16,M12,clst_ndist_nospeak,false,false,6905470370856337400.0,0,0,0.005,0.5,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01905125747492284,0.04573995879244507,0.01666758096223684,0.01008054494149612,3,2,0.0,0.0
no_change,homogeneous,3,H14,no_change_exp,false,false,8636175130330607600.0,0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0
consensus,heterogeneous,16,M12,cons_dist_speak,true,true,6905470370856337400.0,0,0,0.005,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.01905125747492284,0.050143258949723,0.01711350043351402,0.01101844024438711,2,2,0.0,0.0
no_change,homogeneous,9,H21,no_change_exp,false,false,7240713591891685400.0,0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00128224062821502,0.03674768518518524,0.00128224062821502,0.00072669139851013,1,1,0.0,0.0
no_change,heterogeneous,42,M8,no_change_exp,false,false,4692690466958798800.0,0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01257559672531565,0.04464285714285715,0.01257559672531565,0.00949785242457752,4,4,0.0,0.0
clustering,heterogeneous,16,M12,clst_ndist_nospeak,false,false,7240713591891685400.0,0,0,0.005,0.5,0.0,0.0,0.05,0.1,0.1,0.05,15,0.01905125747492284,0.04573995879244507,0.01666758096223684,0.01008054494149612,3,2,0.0,0.0
bipolarization,heterogeneous,33,M31,bipol_ndist_nospeak,false,false,7240713591891685400.0,0,0,0.01,0.2,0.7,0.2,0.05,0.1,0.1,0.05,15,0.01079937132951816,0.01940217872304227,0.01071703306613006,0.01120651366195272,2,2,0.49999999999999994,0.0
consensus,heterogeneous,16,M12,cons_dist_speak,true,true,4692690466958798800.0,0,0,0.005,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.01905125747492284,0.04965550398693777,0.01711282470947854,0.01099129820647232,2,2,0.0,0.0
consensus,heterogeneous,16,M12,cons_dist_speak,true,true,7139002048363152400.0,0,0,0.005,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.01905125747492284,0.04942962056033579,0.01706247349722638,0.0109691862722587,2,2,0.0,0.0
clustering,heterogeneous,39,M5,clst_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.005,0.1,0.0,0.0,0.05,0.1,0.1,0.05,15,0.03097746746875476,0.04706831398598236,0.03097563903434042,0.02468690454868094,4,4,0.0,0.0
bipolarization,heterogeneous,15,M10,bipol_ndist_nospeak,false,false,7240713591891685400.0,0,0,0.005,0.2,0.7,0.2,0.05,0.1,0.1,0.05,15,0.01932656035665295,0.04232078045741446,0.01877477081937974,0.01375891983270011,3,3,0.49999999999999994,0.0
bipolarization,heterogeneous,33,M31,bipol_ndist_nospeak,false,false,7139002048363152400.0,0,0,0.01,0.2,0.7,0.2,0.05,0.1,0.1,0.05,15,0.01079937132951816,0.01940217872304227,0.01071703306613006,0.01120651366195272,2,2,0.49999999999999994,0.0
bipolarization,homogeneous,1,H11,bipol_ndist_nospeak,false,false,7240713591891685400.0,0,0,0.1,0.1,0.5,0.1,0.05,0.1,0.1,0.05,15,0.01309938700274348,0.04078632236473427,0.01272323032025868,0.00883243454279272,4,4,0.4,0.0
no_change,heterogeneous,16,M12,no_change_exp,false,false,6905470370856337400.0,0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01905125747492284,0.05873842592592589,0.01905125747492284,0.01231654288837448,2,2,0.0,0.0
no_change,homogeneous,9,H21,no_change_exp,false,false,7139002048363152400.0,0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00128224062821502,0.03674768518518524,0.00128224062821502,0.00072669139851013,1,1,0.0,0.0
no_change,heterogeneous,16,M12,no_change_exp,false,false,7240713591891685400.0,0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01905125747492284,0.05873842592592589,0.01905125747492284,0.01231654288837448,2,2,0.0,0.0
