model_type,selected_debate_id,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,mae,opinion_variance,polarization_index
clustering,8,0.3,0.2,0.0,0.1,208425796201584640.0,0.05555555555555555,0.12731481481481485,0.13654320987654323
clustering,8,0.3,0.2,0.0,0.1,208425796201584640.0,0.05555555555555555,0.12731481481481485,0.13654320987654323
clustering,10,0.9,0.4,0.0,0.2,208425796201584640.0,0.22222222222222224,0.01311728395061728,0.01061728395061728
clustering,10,0.9,0.4,0.0,0.2,208425796201584640.0,0.22222222222222224,0.01311728395061728,0.01061728395061728
clustering,10,0.3,0.6,0.2,0.1,208425796201584640.0,0.22222222222222224,0.01311728395061728,0.01061728395061728
clustering,10,0.3,0.6,0.2,0.1,208425796201584640.0,0.22222222222222224,0.01311728395061728,0.01061728395061728
clustering,8,0.1,0.4,0.0,0.2,208425796201584640.0,0.05555555555555555,0.12731481481481485,0.13654320987654323
clustering,8,0.1,0.4,0.0,0.2,208425796201584640.0,0.05555555555555555,0.12731481481481485,0.13654320987654323
clustering,4,0.3,0.2,0.5,0.2,208425796201584640.0,0.08333333333333333,0.11496913580246915,0.10691358024691358
clustering,4,0.3,0.2,0.5,0.2,208425796201584640.0,0.08333333333333333,0.11496913580246915,0.10691358024691358
clustering,7,0.3,0.2,0.0,0.1,208425796201584640.0,0.02777777777777777,0.18287037037037038,0.14246913580246912
clustering,7,0.3,0.2,0.0,0.1,208425796201584640.0,0.02777777777777777,0.18287037037037038,0.14246913580246912
clustering,9,0.3,0.2,0.0,0.1,208425796201584640.0,0.13888888888888892,0.05941358024691359,0.03876543209876544
clustering,9,0.3,0.2,0.0,0.1,208425796201584640.0,0.13888888888888892,0.05941358024691359,0.03876543209876544
clustering,8,0.1,0.2,0.0,0.1,208425796201584640.0,0.05555555555555555,0.12731481481481485,0.13654320987654323
clustering,8,0.1,0.2,0.0,0.1,208425796201584640.0,0.05555555555555555,0.12731481481481485,0.13654320987654323
